mnb,datasets/mushrooms.libsvm,143
mnb,datasets/phishing.libsvm,155
mnb,datasets/covtype.libsvm,92
mnb,datasets/mushrooms.libsvm,129
mnb,datasets/phishing.libsvm,168
mnb,datasets/covtype.libsvm,309
mnb,datasets/mushrooms.libsvm,150
mnb,datasets/phishing.libsvm,163
mnb,datasets/covtype.libsvm,92
mnb,datasets/mushrooms.libsvm,206
mnb,datasets/phishing.libsvm,112
mnb,datasets/covtype.libsvm,120
mnb,datasets/mushrooms.libsvm,133
mnb,datasets/phishing.libsvm,106
mnb,datasets/covtype.libsvm,90
mnb,datasets/mushrooms.libsvm,128
mnb,datasets/phishing.libsvm,134
mnb,datasets/covtype.libsvm,113
mnb,datasets/mushrooms.libsvm,127
mnb,datasets/phishing.libsvm,326
mnb,datasets/covtype.libsvm,162
mnb,datasets/mushrooms.libsvm,132
mnb,datasets/phishing.libsvm,233
mnb,datasets/covtype.libsvm,90
mnb,datasets/mushrooms.libsvm,129
mnb,datasets/phishing.libsvm,266
mnb,datasets/covtype.libsvm,82
mnb,datasets/mushrooms.libsvm,262
mnb,datasets/phishing.libsvm,104
mnb,datasets/covtype.libsvm,130
mnb,datasets/mushrooms.libsvm,125
mnb,datasets/phishing.libsvm,142
mnb,datasets/covtype.libsvm,133
mnb,datasets/mushrooms.libsvm,164
mnb,datasets/phishing.libsvm,162
mnb,datasets/covtype.libsvm,176
mnb,datasets/mushrooms.libsvm,192
mnb,datasets/phishing.libsvm,139
mnb,datasets/covtype.libsvm,97
mnb,datasets/mushrooms.libsvm,172
mnb,datasets/phishing.libsvm,142
mnb,datasets/covtype.libsvm,108
mnb,datasets/mushrooms.libsvm,173
mnb,datasets/phishing.libsvm,140
mnb,datasets/covtype.libsvm,108
mnb,datasets/mushrooms.libsvm,121
mnb,datasets/phishing.libsvm,135
mnb,datasets/covtype.libsvm,109
mnb,datasets/mushrooms.libsvm,121
mnb,datasets/phishing.libsvm,134
mnb,datasets/covtype.libsvm,104
mnb,datasets/mushrooms.libsvm,168
mnb,datasets/phishing.libsvm,136
mnb,datasets/covtype.libsvm,317
mnb,datasets/mushrooms.libsvm,140
mnb,datasets/phishing.libsvm,309
mnb,datasets/covtype.libsvm,252
mnb,datasets/mushrooms.libsvm,156
mnb,datasets/phishing.libsvm,135
mnb,datasets/covtype.libsvm,124
